Datum,Information Definition
comment_data,Text data contained within a comment on a Thanks data type
companies,View of companies for a webmaster of Thanks
company_title,Title of a company using Thanks
company_value,Value that fellow employee is exuding that represents the company in the Thanks
department_description,Description of particular department in text form
department_title,The name of a particular department within the company
employee_department,Department employee works in
employee_name,"Name of employee in the company, form <first> <last>"
employee_nickname,Nickname of an employee
employee_photo,Photo of an employee for the Thanks database
employee_title,Job title of an employee’s position
founded_date,Date that a company was founded
like_data,Stored when an employee likes a Thanks another employee game
message_data,Text data contained within the body of a Thanks data type
thanks_feed,List of all Thanks in a corporation
,
